#CONFIG#{"theme": "light", "font_size": 16, "window_width": 2048, "window_height": 1189, "font_family": "Microsoft YaHei UI"}
时间,科目,题干,正确答案,附件路径,难度,合集
2026-02-19 20:42:29,语文,古诗文默写：补写出下列名篇名句中的空缺部分,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_1340.pdf,困难,
2026-02-21 13:03:50,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",求导后分析导函数的符号确定单调区间。,无,中等,
2026-02-01 01:05:03,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用配方法或求导法找到函数的最小值点。,无,困难,
2026-02-18 15:54:07,语文,文言文阅读：阅读下面的文言文，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-02-12 12:19:43,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-01-26 07:24:58,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用配方法或求导法找到函数的最小值点。,无,困难,
2026-02-06 21:36:50,语文,下列文学常识的表述，错误的一项是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-02-13 06:33:55,语文,下列句子中，加点字的读音完全正确的一项是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-01-27 10:03:56,语文,古诗文默写：补写出下列名篇名句中的空缺部分,分析句子结构，找出语病类型并修正。,attachment_1348.pdf,简单,
2026-02-08 11:15:15,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",将函数化为辅助角公式的形式求最值。,无,简单,
2026-01-24 12:43:30,语文,下列句子中，加点字的读音完全正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,无,简单,
2026-01-27 19:58:45,语文,下列各句中，加点的成语使用恰当的一句是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-02-06 13:50:00,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正态分布的对称性求解概率。,attachment_1352.pdf,简单,
2026-02-20 19:59:23,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-19 03:24:51,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,将函数化为辅助角公式的形式求最值。,无,困难,
2026-01-24 09:59:39,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用向量垂直的条件 a·b = 0 求解。,attachment_1355.pdf,困难,
2026-01-26 07:18:39,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,根据椭圆的标准方程和离心率公式计算。,无,中等,
2026-02-17 14:47:47,语文,古诗词鉴赏：阅读下面这首诗，完成题目,理解文言文中的实词、虚词、句式，推断文意。,无,困难,
2026-01-23 09:58:54,语文,下列文学常识的表述，错误的一项是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,attachment_1358.pdf,简单,
2026-01-31 17:11:44,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用线性规划的方法求目标函数的最值。,无,简单,
2026-02-08 16:45:39,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_1360.pdf,困难,
2026-02-02 01:30:46,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用复数除法法则和模的定义计算。,无,简单,
2026-02-11 08:08:00,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正态分布的对称性求解概率。,无,中等,
2026-01-22 10:13:03,语文,古诗词鉴赏：阅读下面这首诗，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-01-25 18:41:14,数学,函数 f(x) = sin x + cos x 的最大值为,将函数化为辅助角公式的形式求最值。,无,简单,
2026-01-27 18:21:25,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用正态分布的对称性求解概率。,attachment_1365.pdf,困难,
2026-02-06 03:15:07,语文,下列文学常识的表述，错误的一项是,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-02-05 17:58:51,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用向量垂直的条件 a·b = 0 求解。,无,困难,
2026-01-23 12:52:24,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,求导后分析导函数的符号确定单调区间。,无,中等,
2026-02-21 11:01:57,语文,下列文学常识的表述，错误的一项是,根据汉字的读音规则和声调，正确答案是B选项。,无,简单,
2026-02-06 13:56:20,数学,函数 f(x) = sin x + cos x 的最大值为,根据椭圆的标准方程和离心率公式计算。,无,中等,
2026-01-25 11:20:45,语文,下列句子中，加点字的读音完全正确的一项是,熟悉文学常识，准确判断各选项的正误。,attachment_1371.pdf,简单,
2026-01-27 19:17:10,语文,下列词语中，没有错别字的一组是,分析句子结构，找出语病类型并修正。,无,中等,
2026-01-31 12:11:09,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用复数除法法则和模的定义计算。,无,简单,
2026-02-02 01:06:59,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用向量垂直的条件 a·b = 0 求解。,无,困难,
2026-01-24 02:33:03,语文,古诗词鉴赏：阅读下面这首诗，完成题目,把握文章主旨，理解作者观点态度。,attachment_1375.pdf,简单,
2026-02-18 03:31:47,语文,下列各句中，加点的成语使用恰当的一句是,分析句子结构，找出语病类型并修正。,无,中等,
2026-01-22 21:48:12,语文,对下列句子中加点词语的解释，不正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_1377.pdf,困难,
2026-02-03 11:08:07,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-02 11:54:13,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用复数除法法则和模的定义计算。,attachment_1379.pdf,困难,
2026-01-27 01:35:38,语文,下列词语中，没有错别字的一组是,理解文言文中的实词、虚词、句式，推断文意。,无,中等,
2026-01-22 19:46:35,语文,古诗文默写：补写出下列名篇名句中的空缺部分,把握文章主旨，理解作者观点态度。,无,中等,
2026-02-02 07:32:27,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_1382.pdf,困难,
2026-02-07 21:14:39,语文,下列各句中，加点的成语使用恰当的一句是,把握文章主旨，理解作者观点态度。,无,中等,
2026-02-21 13:07:01,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",求导后分析导函数的符号确定单调区间。,attachment_1384.pdf,简单,
2026-01-30 17:10:55,语文,古诗词鉴赏：阅读下面这首诗，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,attachment_1385.pdf,中等,
2026-01-23 09:45:45,语文,下列文学常识的表述，错误的一项是,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-01-30 12:24:41,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用配方法或求导法找到函数的最小值点。,无,中等,
2026-02-03 03:42:51,语文,下列文学常识的表述，错误的一项是,熟练背诵名篇名句，准确填写。,attachment_1388.pdf,简单,
2026-01-25 21:47:06,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,根据椭圆的标准方程和离心率公式计算。,无,中等,
2026-02-06 05:51:53,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-02-13 03:51:36,语文,下列句子中，加点字的读音完全正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_1391.pdf,中等,
2026-01-25 04:55:01,语文,下列句子中，加点字的读音完全正确的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,中等,
2026-02-17 05:24:20,语文,古诗词鉴赏：阅读下面这首诗，完成题目,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-01-24 14:12:51,语文,下列句子中，加点字的读音完全正确的一项是,把握文章主旨，理解作者观点态度。,无,困难,
2026-02-01 05:21:23,语文,文言文阅读：阅读下面的文言文，完成题目,理解文言文中的实词、虚词、句式，推断文意。,attachment_1395.pdf,中等,
2026-02-04 06:29:29,语文,文言文阅读：阅读下面的文言文，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_1396.pdf,中等,
2026-02-12 02:52:37,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",将函数化为辅助角公式的形式求最值。,attachment_1397.pdf,中等,
2026-02-10 10:47:22,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用配方法或求导法找到函数的最小值点。,attachment_1398.pdf,困难,
2026-02-16 08:59:45,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-13 09:18:57,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用正弦定理和余弦定理解决三角形问题。,无,困难,
2026-02-05 13:48:53,语文,下列词语中，没有错别字的一组是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,简单,
2026-01-31 13:03:04,语文,古诗文默写：补写出下列名篇名句中的空缺部分,熟练背诵名篇名句，准确填写。,无,简单,
2026-02-05 06:26:10,语文,下列词语中，没有错别字的一组是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-02-05 01:25:18,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用配方法或求导法找到函数的最小值点。,无,简单,
2026-02-02 19:28:01,语文,下列文学常识的表述，错误的一项是,根据上下文和词义辨析，选择最合适的解释。,无,中等,
2026-02-13 08:34:36,语文,对下列句子中加点词语的解释，不正确的一项是,分析句子结构，找出语病类型并修正。,无,简单,
2026-02-14 23:36:19,语文,现代文阅读：阅读下面的文字，完成题目,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,困难,
2026-01-25 22:53:53,语文,下列词语中，没有错别字的一组是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-02-12 21:29:57,语文,下列文学常识的表述，错误的一项是,熟悉文学常识，准确判断各选项的正误。,attachment_1409.pdf,简单,
2026-01-22 23:38:29,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用向量垂直的条件 a·b = 0 求解。,attachment_1410.pdf,中等,
2026-01-22 13:53:12,语文,下列句子中，加点字的读音完全正确的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-02-10 10:27:32,语文,下列各句中，没有语病的一句是,分析句子结构，找出语病类型并修正。,无,中等,
2026-01-28 02:45:26,数学,函数 f(x) = sin x + cos x 的最大值为,利用复数除法法则和模的定义计算。,无,中等,
2026-02-04 01:34:33,数学,函数 f(x) = sin x + cos x 的最大值为,将函数化为辅助角公式的形式求最值。,attachment_1414.pdf,困难,
2026-01-31 17:05:51,语文,现代文阅读：阅读下面的文字，完成题目,熟练背诵名篇名句，准确填写。,无,中等,
2026-02-04 03:28:34,语文,下列文学常识的表述，错误的一项是,熟练背诵名篇名句，准确填写。,无,中等,
2026-01-24 11:22:22,语文,下列文学常识的表述，错误的一项是,熟练背诵名篇名句，准确填写。,无,简单,
2026-02-05 09:47:48,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用向量垂直的条件 a·b = 0 求解。,无,困难,
2026-02-03 15:00:01,语文,下列文学常识的表述，错误的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,中等,
2026-02-01 03:00:21,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用复数除法法则和模的定义计算。,无,简单,
2026-02-03 02:46:18,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,将函数化为辅助角公式的形式求最值。,attachment_1421.pdf,中等,
2026-01-27 15:39:36,语文,下列各句中，没有语病的一句是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-02-12 13:27:16,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用配方法或求导法找到函数的最小值点。,无,困难,
2026-02-08 12:24:36,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正弦定理和余弦定理解决三角形问题。,无,困难,
2026-02-16 00:58:14,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用复数除法法则和模的定义计算。,attachment_1425.pdf,中等,
2026-01-26 14:18:55,语文,古诗文默写：补写出下列名篇名句中的空缺部分,结合语境和成语的含义，C项使用恰当。,attachment_1426.pdf,简单,
2026-01-26 20:21:20,语文,现代文阅读：阅读下面的文字，完成题目,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-02-20 15:44:33,语文,古诗文默写：补写出下列名篇名句中的空缺部分,熟练背诵名篇名句，准确填写。,无,中等,
2026-02-01 20:01:57,数学,函数 f(x) = sin x + cos x 的最大值为,将函数化为辅助角公式的形式求最值。,无,简单,
2026-02-08 03:20:40,语文,对下列句子中加点词语的解释，不正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-01-28 00:41:42,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用线性规划的方法求目标函数的最值。,attachment_1431.pdf,简单,
2026-02-18 19:24:02,语文,下列句子中，加点字的读音完全正确的一项是,把握文章主旨，理解作者观点态度。,无,困难,
2026-02-06 03:54:29,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-04 04:59:44,语文,下列文学常识的表述，错误的一项是,结合语境和成语的含义，C项使用恰当。,无,简单,
2026-02-06 16:45:17,语文,下列句子中，加点字的读音完全正确的一项是,把握文章主旨，理解作者观点态度。,无,简单,
2026-02-09 21:30:21,语文,下列句子中，加点字的读音完全正确的一项是,根据上下文和词义辨析，选择最合适的解释。,无,困难,
2026-01-22 04:19:23,语文,对下列句子中加点词语的解释，不正确的一项是,理解文言文中的实词、虚词、句式，推断文意。,无,简单,
2026-02-17 00:02:23,语文,古诗词鉴赏：阅读下面这首诗，完成题目,把握文章主旨，理解作者观点态度。,无,困难,
2026-01-29 17:14:32,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-12 19:13:06,数学,函数 f(x) = sin x + cos x 的最大值为,利用线性规划的方法求目标函数的最值。,无,简单,
2026-01-25 19:04:52,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用配方法或求导法找到函数的最小值点。,无,简单,
2026-01-24 03:12:46,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正态分布的对称性求解概率。,无,困难,
2026-01-31 09:56:28,语文,现代文阅读：阅读下面的文字，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-02-15 13:51:21,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-08 07:09:57,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用线性规划的方法求目标函数的最值。,无,简单,
2026-01-22 17:55:40,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用正弦定理和余弦定理解决三角形问题。,无,中等,
2026-02-08 19:56:02,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",将函数化为辅助角公式的形式求最值。,无,困难,
2026-02-09 22:13:48,数学,函数 f(x) = sin x + cos x 的最大值为,利用配方法或求导法找到函数的最小值点。,无,中等,
2026-02-20 15:29:13,语文,古诗词鉴赏：阅读下面这首诗，完成题目,根据上下文和词义辨析，选择最合适的解释。,attachment_1449.pdf,中等,
2026-01-25 20:45:22,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-19 16:07:01,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用复数除法法则和模的定义计算。,无,中等,
2026-02-08 16:11:47,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-19 02:18:37,语文,现代文阅读：阅读下面的文字，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-16 12:34:12,语文,下列各句中，没有语病的一句是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-02-04 14:15:25,语文,现代文阅读：阅读下面的文字，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,attachment_1455.pdf,简单,
2026-01-23 01:26:31,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",将函数化为辅助角公式的形式求最值。,无,中等,
2026-02-06 14:00:32,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",将函数化为辅助角公式的形式求最值。,attachment_1457.pdf,简单,
2026-01-31 12:22:56,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,根据椭圆的标准方程和离心率公式计算。,无,中等,
2026-01-29 12:32:00,语文,下列句子中，加点字的读音完全正确的一项是,根据上下文和词义辨析，选择最合适的解释。,attachment_1459.pdf,困难,
2026-02-19 22:03:05,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,运用等差数列的通项公式和前n项和公式求解。,无,困难,
2026-02-02 01:23:39,语文,古诗词鉴赏：阅读下面这首诗，完成题目,熟悉文学常识，准确判断各选项的正误。,无,简单,
2026-02-14 11:38:01,语文,下列各句中，加点的成语使用恰当的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-16 23:11:32,语文,对下列句子中加点词语的解释，不正确的一项是,结合语境和成语的含义，C项使用恰当。,attachment_1463.pdf,中等,
2026-02-16 09:30:15,语文,下列文学常识的表述，错误的一项是,根据上下文和词义辨析，选择最合适的解释。,attachment_1464.pdf,简单,
2026-02-02 09:35:24,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,求导后分析导函数的符号确定单调区间。,无,中等,
2026-02-08 15:45:21,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用向量垂直的条件 a·b = 0 求解。,无,中等,
2026-02-12 00:52:01,数学,函数 f(x) = sin x + cos x 的最大值为,利用正态分布的对称性求解概率。,无,困难,
2026-01-31 09:37:57,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,将函数化为辅助角公式的形式求最值。,无,困难,
2026-02-13 10:49:22,语文,下列文学常识的表述，错误的一项是,熟悉文学常识，准确判断各选项的正误。,无,简单,
2026-02-13 03:04:22,语文,对下列句子中加点词语的解释，不正确的一项是,熟练背诵名篇名句，准确填写。,无,简单,
2026-01-26 19:24:41,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",运用等差数列的通项公式和前n项和公式求解。,attachment_1471.pdf,简单,
2026-02-03 18:04:58,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-01-25 22:11:29,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用正态分布的对称性求解概率。,无,困难,
2026-01-27 08:34:37,语文,下列文学常识的表述，错误的一项是,把握文章主旨，理解作者观点态度。,无,中等,
2026-02-15 16:33:07,语文,现代文阅读：阅读下面的文字，完成题目,根据上下文和词义辨析，选择最合适的解释。,无,中等,
2026-01-30 06:50:52,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-01-22 04:55:19,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用复数除法法则和模的定义计算。,无,中等,
2026-02-15 12:12:53,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",利用正弦定理和余弦定理解决三角形问题。,无,困难,
2026-01-26 15:26:25,语文,古诗词鉴赏：阅读下面这首诗，完成题目,理解文言文中的实词、虚词、句式，推断文意。,attachment_1479.pdf,困难,
2026-02-17 04:58:03,语文,下列句子中，加点字的读音完全正确的一项是,根据汉字的读音规则和声调，正确答案是B选项。,无,中等,
2026-02-19 03:53:23,语文,古诗词鉴赏：阅读下面这首诗，完成题目,结合语境和成语的含义，C项使用恰当。,无,简单,
2026-02-06 06:11:20,语文,对下列句子中加点词语的解释，不正确的一项是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-02-15 05:29:59,语文,下列文学常识的表述，错误的一项是,熟悉文学常识，准确判断各选项的正误。,无,困难,
2026-02-04 06:30:52,语文,古诗文默写：补写出下列名篇名句中的空缺部分,把握文章主旨，理解作者观点态度。,无,中等,
2026-02-17 16:27:01,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,将函数化为辅助角公式的形式求最值。,attachment_1485.pdf,困难,
2026-01-23 05:18:58,语文,古诗词鉴赏：阅读下面这首诗，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,attachment_1486.pdf,简单,
2026-02-15 05:37:11,语文,下列句子中，加点字的读音完全正确的一项是,理解文言文中的实词、虚词、句式，推断文意。,无,困难,
2026-02-14 22:47:42,数学,"若 x, y 满足约束条件，则 z = x + y 的最大值为",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-20 03:32:54,语文,对下列句子中加点词语的解释，不正确的一项是,结合语境和成语的含义，C项使用恰当。,attachment_1489.pdf,简单,
2026-02-05 07:34:03,语文,下列文学常识的表述，错误的一项是,分析句子结构，找出语病类型并修正。,无,简单,
2026-02-09 23:43:29,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",根据椭圆的标准方程和离心率公式计算。,无,困难,
2026-02-08 09:52:48,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",将函数化为辅助角公式的形式求最值。,无,简单,
2026-01-22 16:00:51,语文,下列各句中，没有语病的一句是,通过分析各选项中的汉字结构和用法，确定A项为正确答案。,无,困难,
2026-02-14 05:45:10,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,运用等差数列的通项公式和前n项和公式求解。,attachment_1494.pdf,中等,
2026-02-21 10:57:36,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",运用等差数列的通项公式和前n项和公式求解。,无,简单,
2026-02-20 21:18:42,数学,函数 f(x) = sin x + cos x 的最大值为,利用配方法或求导法找到函数的最小值点。,无,中等,
2026-02-14 21:37:12,语文,古诗词鉴赏：阅读下面这首诗，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,无,简单,
2026-02-06 21:56:42,语文,古诗词鉴赏：阅读下面这首诗，完成题目,根据汉字的读音规则和声调，正确答案是B选项。,无,困难,
2026-02-19 00:54:57,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",运用等差数列的通项公式和前n项和公式求解。,attachment_1499.pdf,困难,
2026-01-31 17:09:21,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用配方法或求导法找到函数的最小值点。,无,简单,
2026-01-27 06:48:50,语文,下列各句中，加点的成语使用恰当的一句是,从诗歌的意境、表达技巧等角度分析，得出答案。,无,中等,
2026-02-19 07:34:54,数学,函数 f(x) = sin x + cos x 的最大值为,运用等差数列的通项公式和前n项和公式求解。,无,中等,
2026-02-01 06:38:41,语文,文言文阅读：阅读下面的文言文，完成题目,从诗歌的意境、表达技巧等角度分析，得出答案。,无,困难,
2026-02-05 08:09:07,语文,对下列句子中加点词语的解释，不正确的一项是,结合语境和成语的含义，C项使用恰当。,无,简单,
2026-02-05 17:11:56,数学,"已知向量 a = (1, 2), b = (x, 4)，若 a ⊥ b，则 x =",利用配方法或求导法找到函数的最小值点。,attachment_1505.pdf,中等,
2026-02-02 08:58:21,语文,下列句子中，加点字的读音完全正确的一项是,结合语境和成语的含义，C项使用恰当。,无,简单,
2026-02-14 18:30:15,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用正态分布的对称性求解概率。,无,简单,
2026-02-13 04:24:09,语文,现代文阅读：阅读下面的文字，完成题目,分析句子结构，找出语病类型并修正。,attachment_1508.pdf,困难,
2026-02-03 13:38:46,语文,古诗文默写：补写出下列名篇名句中的空缺部分,熟练背诵名篇名句，准确填写。,无,简单,
2026-02-03 09:14:25,数学,函数 f(x) = sin x + cos x 的最大值为,根据椭圆的标准方程和离心率公式计算。,无,中等,
2026-02-13 17:00:14,语文,古诗词鉴赏：阅读下面这首诗，完成题目,理解文言文中的实词、虚词、句式，推断文意。,无,中等,
2026-02-10 01:48:59,语文,下列各句中，没有语病的一句是,熟悉文学常识，准确判断各选项的正误。,无,中等,
2026-02-18 20:28:22,语文,下列词语中，没有错别字的一组是,根据上下文和词义辨析，选择最合适的解释。,无,中等,
2026-01-26 11:58:55,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,将函数化为辅助角公式的形式求最值。,attachment_1514.pdf,简单,
2026-02-10 04:55:46,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,将函数化为辅助角公式的形式求最值。,attachment_1515.pdf,困难,
2026-02-05 23:58:32,语文,对下列句子中加点词语的解释，不正确的一项是,结合语境和成语的含义，C项使用恰当。,无,困难,
2026-01-27 18:31:15,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,将函数化为辅助角公式的形式求最值。,无,简单,
2026-02-03 14:17:03,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,求导后分析导函数的符号确定单调区间。,无,困难,
2026-02-01 10:11:26,数学,椭圆 x²/4 + y²/3 = 1 的离心率为,利用配方法或求导法找到函数的最小值点。,attachment_1519.pdf,困难,
2026-02-18 05:36:37,语文,下列各句中，没有语病的一句是,根据汉字的读音规则和声调，正确答案是B选项。,attachment_1520.pdf,中等,
2026-01-23 01:31:41,数学,在三角形 ABC 中，若 sin A : sin B : sin C = 3 : 4 : 5，则 cos C =,利用向量垂直的条件 a·b = 0 求解。,无,简单,
2026-02-07 05:30:29,语文,下列文学常识的表述，错误的一项是,把握文章主旨，理解作者观点态度。,无,困难,
2026-01-26 12:38:23,数学,"设等差数列 {an} 的前 n 项和为 Sn，若 a3 = 5, S5 = 25，则 a10 =",利用向量垂直的条件 a·b = 0 求解。,attachment_1523.pdf,简单,
2026-02-12 18:58:43,数学,函数 f(x) = sin x + cos x 的最大值为,利用复数除法法则和模的定义计算。,attachment_1524.pdf,简单,
2026-02-09 01:28:59,语文,古诗文默写：补写出下列名篇名句中的空缺部分,理解文言文中的实词、虚词、句式，推断文意。,无,困难,
2026-02-16 10:59:48,语文,下列句子中，加点字的读音完全正确的一项是,理解文言文中的实词、虚词、句式，推断文意。,无,困难,
2026-02-02 09:51:24,数学,若复数 z = (1+i)/(1-i)，则 |z| 的值为,利用正弦定理和余弦定理解决三角形问题。,无,中等,
2026-01-31 17:54:18,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用复数除法法则和模的定义计算。,无,中等,
2026-02-09 01:06:08,语文,下列各句中，没有语病的一句是,结合语境和成语的含义，C项使用恰当。,attachment_1529.pdf,简单,
2026-02-04 04:39:54,数学,"设随机变量 X ~ N(2, 4)，则 P(X > 2) =",利用复数除法法则和模的定义计算。,attachment_1530.pdf,困难,
2026-01-27 23:56:44,数学,已知函数 f(x) = x² + 2x + 1，则 f(x) 的最小值是,利用配方法或求导法找到函数的最小值点。,attachment_1531.pdf,简单,
2026-02-06 09:55:54,语文,古诗词鉴赏：阅读下面这首诗，完成题目,把握文章主旨，理解作者观点态度。,无,中等,
2026-02-14 10:02:50,数学,设函数 f(x) = ln x - ax (a > 0)，则 f(x) 的单调递增区间为,利用正态分布的对称性求解概率。,无,中等,
